time (s),vertical,horizontal,axial
0.0112891,-2.01046,10.6148,-1.08983
0.0113281,-2.06353,10.2416,-1.73627
0.0113672,-2.14787,9.82769,-2.34224
0.0114062,-2.17341,9.51538,-2.90623
0.0114453,-2.0951,9.34422,-3.44169
0.0114844,-1.92379,9.26367,-3.93175
0.0115234,-1.69634,9.22578,-4.35279
0.0115625,-1.47844,9.16654,-4.71625
0.0116016,-1.32834,9.01061,-5.04971
0.0116406,-1.20744,8.75929,-5.37245
0.0116797,-1.02974,8.48838,-5.69351
0.0117188,-0.764771,8.23757,-6.02029
0.0117578,-0.444211,7.94187,-6.356
0.0117969,-0.138022,7.52914,-6.6901
0.0118359,0.12178,7.07527,-7.00684
0.011875,0.370137,6.74216,-7.2875
0.0119141,0.613026,6.56823,-7.51258
0.0119531,0.810862,6.46849,-7.67349
0.0119922,0.960339,6.384,-7.76354
0.0120313,1.10137,6.24971,-7.78475
0.0120703,1.23964,5.94782,-7.77472
0.0121094,1.34408,5.49495,-7.78784
0.0121484,1.41931,5.09923,-7.85358
0.0121875,1.47894,4.88022,-7.97633
0.0122266,1.5039,4.70899,-8.15673
0.0122656,1.46938,4.41559,-8.39091
0.0123047,1.3582,4.00231,-8.66186
0.0123438,1.19509,3.57085,-8.94429
0.0123828,1.03083,3.17923,-9.2162
0.0124219,0.867961,2.86709,-9.45694
0.0124609,0.674599,2.67456,-9.63647
0.0125,0.428111,2.53565,-9.74155
0.0125391,0.137556,2.28331,-9.80342
0.0125781,-0.16375,1.85757,-9.87021
0.0126172,-0.457843,1.42414,-9.97775
0.0126563,-0.729514,1.17871,-10.1399
0.0126953,-0.974261,1.0664,-10.3559
0.0127344,-1.23635,0.823643,-10.6327
0.0127734,-1.56313,0.319624,-10.9726
0.0128125,-1.94964,-0.281027,-11.3678
0.0128516,-2.3577,-0.760666,-11.8142
0.0128906,-2.78147,-1.10981,-12.2944
0.0129297,-3.24939,-1.44347,-12.7837
0.0129688,-3.75212,-1.79159,-13.2585
0.0130078,-4.25986,-2.11791,-13.6881
0.0130469,-4.77272,-2.46935,-14.0709
0.0130859,-5.28131,-2.95011,-14.4422
0.013125,-5.73801,-3.54626,-14.8296
0.0131641,-6.08603,-4.08674,-15.2353
0.0132031,-6.30489,-4.4322,-15.6486
0.0132422,-6.44053,-4.64211,-16.0756
0.0132812,-6.58536,-4.88729,-16.5348
0.0133203,-6.80888,-5.26779,-17.0274
0.0133594,-7.10624,-5.77462,-17.5465
0.0133984,-7.43612,-6.31812,-18.0862
0.0134375,-7.75512,-6.77355,-18.6334
0.0134766,-7.99865,-7.11999,-19.1775
0.0135156,-8.13135,-7.49635,-19.7166
0.0135547,-8.19511,-8.01705,-20.2512
0.0135937,-8.23125,-8.605,-20.7728
0.0136328,-8.22531,-9.09382,-21.2577
0.0136719,-8.17723,-9.42997,-21.6771
0.0137109,-8.14564,-9.6959,-22.0147
0.01375,-8.18129,-9.96985,-22.2797
0.0137891,-8.27832,-10.2572,-22.4972
0.0138281,-8.4034,-10.5832,-22.6902
0.0138672,-8.54153,-11.0253,-22.8874
0.0139063,-8.70593,-11.5673,-23.1186
0.0139453,-8.89084,-12.0529,-23.3852
0.0139844,-9.07407,-12.3876,-23.6647
0.0140234,-9.27803,-12.662,-23.9378
0.0140625,-9.53663,-12.9841,-24.1887
0.0141016,-9.844,-13.3355,-24.3973
0.0141406,-10.1821,-13.6809,-24.5511
0.0141797,-10.5429,-14.0329,-24.6475
0.0142188,-10.9321,-14.344,-24.6883
0.0142578,-11.3512,-14.5168,-24.6717
0.0142969,-11.7752,-14.5651,-24.5894
0.0143359,-12.1809,-14.6636,-24.4611
0.014375,-12.5546,-14.9674,-24.3336
0.0144141,-12.8764,-15.3836,-24.2254
0.0144531,-13.1497,-15.6723,-24.1238
0.0144922,-13.4068,-15.7808,-24.008
0.0145313,-13.6713,-15.8721,-23.8649
0.0145703,-13.9509,-16.0477,-23.7015
0.0146094,-14.2354,-16.2346,-23.5197
0.0146484,-14.4825,-16.3489,-23.2974
0.0146875,-14.6602,-16.4304,-23.0142
0.0147266,-14.783,-16.5342,-22.6715
0.0147656,-14.856,-16.6039,-22.2778
0.0148047,-14.837,-16.578,-21.8356
0.0148438,-14.6907,-16.5263,-21.364
0.0148828,-14.4295,-16.5617,-20.8916
0.0149219,-14.0769,-16.6761,-20.419
0.0149609,-13.6438,-16.7504,-19.9332
0.015,-13.1562,-16.7358,-19.4195
0.0150391,-12.654,-16.7373,-18.8605
0.0150781,-12.1667,-16.8417,-18.2645
0.0151172,-11.696,-16.9564,-17.6482
0.0151562,-11.2018,-16.9442,-17.0093
0.0151953,-10.6446,-16.8255,-16.3413
0.0152344,-10.0272,-16.7174,-15.6369
0.0152734,-9.35544,-16.6523,-14.8967
0.0153125,-8.63949,-16.576,-14.1366
0.0153516,-7.91611,-16.4807,-13.3672
0.0153906,-7.1981,-16.4221,-12.597
0.0154297,-6.47407,-16.3993,-11.8417
0.0154687,-5.74962,-16.3421,-11.1038
0.0155078,-5.02237,-16.2406,-10.3736
0.0155469,-4.29696,-16.1654,-9.65661
0.0155859,-3.62015,-16.1352,-8.96534
0.015625,-3.01765,-16.0809,-8.28549
0.0156641,-2.46529,-15.9734,-7.58615
0.0157031,-1.93696,-15.8868,-6.85493
0.0157422,-1.40672,-15.8884,-6.10273
0.0157813,-0.850339,-15.9452,-5.34722
0.0158203,-0.265723,-15.9599,-4.60253
0.0158594,0.338594,-15.8654,-3.88279
0.0158984,0.94517,-15.708,-3.1964
0.0159375,1.54065,-15.6157,-2.53557
0.0159766,2.14608,-15.651,-1.8962
0.0160156,2.78883,-15.7702,-1.28914
0.0160547,3.46107,-15.9165,-0.71974
0.0160938,4.14721,-16.0402,-0.180607
0.0161328,4.86899,-16.0954,0.344335
0.0161719,5.66055,-16.113,0.875397
0.0162109,6.52126,-16.1984,1.41573
0.01625,7.42553,-16.4024,1.94118
0.0162891,8.34792,-16.6516,2.43385
0.0163281,9.28149,-16.8134,2.90856
0.0163672,10.2391,-16.826,3.38373
0.0164063,11.2183,-16.7813,3.85333
0.0164453,12.2064,-16.8349,4.29443
0.0164844,13.2091,-17.0234,4.67728
0.0165234,14.2275,-17.2433,4.98575
0.0165625,15.2471,-17.391,5.22968
0.0166016,16.2609,-17.4544,5.41892
0.0166406,17.259,-17.5038,5.55326
0.0166797,18.2019,-17.6294,5.63964
0.0167188,19.0551,-17.8586,5.68844
0.0167578,19.8184,-18.1283,5.70567
0.0167969,20.4759,-18.3545,5.70299
