frequency (Hz),vertical,horizontal,axial
828.125,0.0219958,0.00472794,0.00937993
829.688,0.00888652,0.00150681,0.00378465
831.25,0.00482325,0.00148064,0.00508101
832.812,0.00830761,0.00210269,0.00851873
834.375,0.00452495,0.00173735,0.0065466
835.938,0.0028083,0.00117144,0.00266338
837.5,0.00829733,0.00164555,0.00401923
839.062,0.0257423,0.00630085,0.00658937
840.625,0.0297448,0.00703682,0.00726112
842.188,0.0119342,0.00323347,0.00562991
843.75,0.0226866,0.0015986,0.0090582
845.312,0.024372,0.00320773,0.0097702
846.875,0.00921175,0.00267294,0.00476614
848.438,0.0036283,0.00385577,0.00680395
850,0.00810719,0.00302518,0.0105277
851.562,0.0110432,0.0015564,0.00660509
853.125,0.0068167,0.00156833,0.00134929
854.688,0.00580125,0.002229,0.000813049
856.25,0.00604103,0.0017013,0.00333712
857.812,0.00712463,0.00551905,0.0132419
859.375,0.00730878,0.0123642,0.0237598
860.938,0.00770753,0.00842503,0.0137057
862.5,0.00548739,0.00202643,0.00252622
864.062,0.0112968,0.00219942,0.00813041
865.625,0.0104953,0.00336583,0.0090584
867.188,0.0256369,0.012152,0.034407
868.75,0.0454175,0.0207019,0.0518845
870.312,0.0171107,0.0129982,0.0273425
871.875,0.00583914,0.00606642,0.0144452
873.438,0.0100325,0.00569199,0.014142
875,0.00713953,0.00503986,0.0130361
876.562,0.00326229,0.0043565,0.0084024
878.125,0.00322242,0.00244494,0.00680456
879.688,0.00104245,0.0026579,0.00717663
881.25,0.00235275,0.00168537,0.00260493
882.812,0.00477234,0.00282781,0.0037243
884.375,0.00486027,0.000922622,0.00132071
885.938,0.00198097,0.00243571,0.00234429
887.5,0.00567569,0.00418048,0.00981949
889.062,0.00538959,0.00456781,0.0127729
890.625,0.00535868,0.00188128,0.00491477
892.188,0.00566278,0.00467573,0.00764284
893.75,0.00813449,0.00563572,0.00889436
895.312,0.00380676,0.00369074,0.00533381
896.875,0.00244206,0.00197193,0.00514963
898.438,0.00375359,0.00253702,0.00567704
