time (s),vertical,horizontal,axial
0.0128516,-1.05034,-1.02575,-1.23251
0.0128906,-1.12959,-0.844738,-1.27928
0.0129297,-1.27968,-0.945517,-1.27953
0.0129688,-1.31022,-0.920721,-1.20285
0.0130078,-1.30474,-0.832339,-1.04277
0.0130469,-1.33583,-1.05234,-0.958256
0.0130859,-1.28139,-1.50788,-0.981839
0.013125,-1.06399,-1.65506,-1.04194
0.0131641,-0.713076,-1.21789,-1.07658
0.0132031,-0.388872,-0.637783,-1.08109
0.0132422,-0.277708,-0.51092,-1.14708
0.0132812,-0.435751,-0.822413,-1.24908
0.0133203,-0.687428,-1.21767,-1.32013
0.0133594,-0.820127,-1.48228,-1.38712
0.0133984,-0.856191,-1.4096,-1.4273
0.0134375,-0.762291,-1.0231,-1.4254
0.0134766,-0.461351,-0.841288,-1.41087
0.0135156,-0.182882,-1.1797,-1.39819
0.0135547,-0.100551,-1.59518,-1.38693
0.0135937,-0.037756,-1.53113,-1.3303
0.0136328,0.120002,-1.07831,-1.19412
0.0136719,0.183137,-0.734801,-0.988311
0.0137109,0.0348985,-0.712333,-0.766242
0.01375,-0.166903,-0.7771,-0.609082
0.0137891,-0.284548,-0.782959,-0.517824
0.0138281,-0.312338,-0.978682,-0.480534
0.0138672,-0.351792,-1.38969,-0.539676
0.0139063,-0.448509,-1.50067,-0.65673
0.0139453,-0.457976,-1.09577,-0.72435
0.0139844,-0.43888,-0.713751,-0.723005
0.0140234,-0.565248,-0.781197,-0.690982
0.0140625,-0.72318,-0.962827,-0.606629
0.0141016,-0.818988,-0.935064,-0.469107
0.0141406,-0.882851,-0.93164,-0.320832
0.0141797,-0.936307,-0.970448,-0.168686
0.0142188,-1.03024,-0.717866,-0.0297137
0.0142578,-1.09153,-0.249435,0.130812
0.0142969,-1.05528,-0.0685449,0.313895
0.0143359,-0.995021,-0.511884,0.371172
0.014375,-0.887382,-1.14033,0.31081
0.0144141,-0.723667,-1.09897,0.270387
0.0144531,-0.633042,-0.475144,0.277211
0.0144922,-0.638601,-0.159197,0.344393
0.0145313,-0.670595,-0.385668,0.420759
0.0145703,-0.716848,-0.599393,0.45082
0.0146094,-0.695235,-0.444763,0.516897
0.0146484,-0.521025,-0.221347,0.663007
0.0146875,-0.332485,-0.273765,0.834938
0.0147266,-0.233461,-0.338268,0.974193
0.0147656,-0.0721728,-0.0959532,1.10154
0.0148047,0.247884,0.159872,1.22734
0.0148438,0.59282,0.0391177,1.25581
0.0148828,0.848272,-0.295989,1.23215
0.0149219,1.07061,-0.372647,1.25724
0.0149609,1.26877,-0.0875532,1.30108
0.015,1.35634,0.0907074,1.40371
0.0150391,1.34505,-0.171248,1.53778
0.0150781,1.2797,-0.446903,1.59713
0.0151172,1.25878,-0.225624,1.64417
0.0151562,1.40312,0.215376,1.71561
0.0151953,1.58833,0.329504,1.79635
0.0152344,1.71825,0.160129,1.90646
0.0152734,1.87227,0.104584,1.98319
0.0153125,1.94969,0.218288,2.01048
0.0153516,1.91165,0.203387,2.03272
0.0153906,1.92237,0.0263946,2.01466
0.0154297,1.94365,0.0160471,1.95523
0.0154687,1.92516,0.206247,1.92447
0.0155078,1.95891,0.246473,1.91553
0.0155469,1.91617,0.0687661,1.85568
0.0155859,1.70589,0.0112748,1.78178
0.015625,1.52891,0.194474,1.79648
0.0156641,1.44477,0.288031,1.88381
0.0157031,1.4041,0.085574,1.96328
0.0157422,1.4553,-0.17257,1.99369
0.0157813,1.54111,-0.202533,1.98086
0.0158203,1.60323,0.0465124,1.93766
0.0158594,1.6445,0.366795,1.85091
0.0158984,1.61558,0.375131,1.76402
0.0159375,1.58713,0.0263708,1.71786
0.0159766,1.66805,-0.290702,1.65233
0.0160156,1.78246,-0.412208,1.54957
0.0160547,1.82249,-0.431993,1.45611
0.0160938,1.85554,-0.295069,1.39195
0.0161328,2.00904,-0.0738869,1.38238
0.0161719,2.22022,-0.0996607,1.42423
0.0162109,2.37042,-0.428168,1.43109
0.01625,2.44811,-0.71871,1.34688
0.0162891,2.46548,-0.664116,1.26031
0.0163281,2.50697,-0.263066,1.25347
0.0163672,2.59154,0.114832,1.26305
0.0164063,2.61999,0.0353029,1.22473
0.0164453,2.63815,-0.398502,1.11457
0.0164844,2.69712,-0.668533,0.921031
0.0165234,2.72078,-0.563239,0.726635
0.0165625,2.70318,-0.291416,0.584538
0.0166016,2.69134,-0.123689,0.441461
0.0166406,2.62161,-0.218321,0.29831
0.0166797,2.40369,-0.52184,0.191422
0.0167188,2.15417,-0.759291,0.102524
0.0167578,1.9347,-0.733302,0.0268849
0.0167969,1.60224,-0.532401,-0.00109805
0.0168359,1.27777,-0.304283,0.0231995
0.016875,1.12696,-0.18532,0.0493508
0.0169141,1.04392,-0.36024,0.0315342
0.0169531,1.03048,-0.722987,-0.0511895
0.0169922,1.05101,-0.869853,-0.209183
0.0170313,0.934367,-0.56721,-0.369231
0.0170703,0.735719,-0.0386914,-0.420722
0.0171094,0.575958,0.0256003,-0.385256
0.0171484,0.462408,-0.712829,-0.363152
0.0171875,0.418725,-1.50983,-0.422833
0.0172266,0.490522,-1.50665,-0.566311
0.0172656,0.643127,-0.785671,-0.649939
0.0173047,0.719451,-0.0299876,-0.57154
0.0173438,0.625814,0.167292,-0.436817
0.0173828,0.448226,-0.318669,-0.304298
0.0174219,0.351694,-1.06588,-0.196561
0.0174609,0.46205,-1.39725,-0.208519
0.0175,0.703959,-0.999426,-0.234081
0.0175391,0.880423,-0.3009,-0.127696
0.0175781,0.940388,-0.0372559,-0.0115667
0.0176172,0.923792,-0.468906,0.0254179
0.0176563,0.836752,-1.0161,0.0261725
0.0176953,0.771156,-0.909184,-0.022903
0.0177344,0.835125,-0.237506,-0.0800198
0.0177734,0.8982,0.254672,-0.0564214
0.0178125,0.77288,0.154302,0.0218269
0.0178516,0.516233,-0.293719,0.0897082
0.0178906,0.268748,-0.639396,0.124246
0.0179297,0.0721341,-0.759284,0.12143
0.0179688,-0.0308809,-0.56002,0.10436
0.0180078,0.0289774,0.0793709,0.0977853
0.0180469,0.114468,0.549939,0.107288
0.0180859,-0.0653294,0.191987,0.133919
0.018125,-0.468544,-0.457569,0.157897
0.0181641,-0.784886,-0.53508,0.188655
0.0182031,-0.886147,-0.140856,0.28665
0.0182422,-0.83445,0.126934,0.429076
0.0182812,-0.78576,0.199144,0.517124
0.0183203,-0.859571,0.408371,0.537475
0.0183594,-1.01275,0.639822,0.531714
0.0183984,-1.1956,0.371509,0.480465
0.0184375,-1.4272,-0.366876,0.369997
0.0184766,-1.61314,-0.76307,0.271308
0.0185156,-1.52969,-0.39424,0.22492
0.0185547,-1.28984,0.103289,0.182998
0.0185937,-1.27867,0.198982,0.138572
0.0186328,-1.39311,0.174381,0.139634
0.0186719,-1.37157,0.169656,0.184386
0.0187109,-1.32478,-0.0232589,0.231388
0.01875,-1.25354,-0.0747674,0.287607
0.0187891,-1.08639,0.482621,0.369586
0.0188281,-0.909476,1.05847,0.397329
0.0188672,-0.759198,0.662474,0.321523
0.0189062,-0.68893,-0.424308,0.194719
0.0189453,-0.659794,-0.882046,0.0214222
0.0189844,-0.471462,-0.156625,-0.155005
0.0190234,-0.0947317,0.73968,-0.26401
0.0190625,0.210568,0.634885,-0.369291
0.0191016,0.124472,-0.0401931,-0.445413
0.0191406,-0.292644,-0.0673166,-0.392451
